# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  umag    gmag    rmag    imag    zmag
0.0152 0.01508 8.14613 0.3500000238 2.0434176922    0.350 -1.860  3.5119  4.841    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.12e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.419 15.388 12.439 11.020 9.734 9.024
0.0152 0.01508 8.14613 0.3895517290 2.1038575172    0.389 -1.752  3.5212  4.817    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -1.4e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.150 14.905 12.007 10.606 9.404 8.740
0.0152 0.01508 8.14613 0.4000000358 2.1185026169    0.400 -1.725  3.5235  4.811    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.48e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.082 14.790 11.902 10.506 9.323 8.669
0.0152 0.01508 8.14613 0.4500000477 2.1822810173    0.450 -1.583  3.5370  4.774    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.01e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.728 14.183 11.340 9.970 8.894 8.300
0.0152 0.01508 8.14613 0.5000000000 2.2374541759    0.500 -1.428  3.5540  4.734    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.86e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.341 13.542 10.721 9.373 8.425 7.902
0.0152 0.01508 8.14613 0.5417681932 2.2767236233    0.541 -1.289  3.5731  4.705    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.91e-15      0.00 7.093e-01 2.754e-01 2.745e-03 7.405e-04 6.716e-03 -1.000 1.527e-02 7.994 12.960 10.132 8.795 7.993 7.552
0.0152 0.01508 8.14613 0.5500000119 2.2836582661    0.550 -1.264  3.5768  4.701    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.13e-15      0.00 7.094e-01 2.754e-01 2.745e-03 7.403e-04 6.715e-03 -1.000 1.527e-02 7.930 12.855 10.025 8.690 7.915 7.489
0.0152 0.01508 8.14613 0.5592638850 2.2911822796    0.559 -1.232  3.5831  4.701    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.42e-15      0.00 7.094e-01 2.754e-01 2.744e-03 7.403e-04 6.714e-03 -1.000 1.527e-02 7.849 12.703 9.869 8.539 7.810 7.409
0.0152 0.01508 8.14613 0.5788477659 2.3061804771    0.579 -1.180  3.5926  4.703    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.89e-15      0.00 7.094e-01 2.754e-01 2.744e-03 7.403e-04 6.714e-03 -1.000 1.527e-02 7.721 12.473 9.634 8.316 7.649 7.285
0.0152 0.01508 8.14613 0.5929676890 2.3162901402    0.593 -1.155  3.5962  4.703    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.12e-15      0.00 7.094e-01 2.753e-01 2.744e-03 7.403e-04 6.714e-03 -1.000 1.525e-02 7.658 12.373 9.532 8.221 7.574 7.223
0.0152 0.01508 8.14613 0.6000000238 2.3211214542    0.600 -1.141  3.5978  4.701    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.27e-15      0.00 7.094e-01 2.754e-01 2.744e-03 7.402e-04 6.713e-03 -1.000 1.523e-02 7.623 12.323 9.481 8.172 7.535 7.189
