# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  umag    gmag    rmag    imag    zmag
0.0152 0.01508 7.60206 0.0900000036 1.0816895962    0.090 -2.472  3.4039  4.432    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -8.7e-16      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 10.950 19.872 16.296 14.837 12.459 11.003
0.0152 0.01508 7.60206 0.0934586823 1.1140182018    0.093 -2.447  3.4068  4.435    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.01e-16      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 10.887 19.814 16.234 14.775 12.396 10.940
0.0152 0.01508 7.60206 0.1000000015 1.1711064577    0.100 -2.399  3.4124  4.439    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.69e-16      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 10.768 19.700 16.116 14.656 12.276 10.820
0.0152 0.01508 7.60206 0.1073536128 1.2297534943    0.107 -2.351  3.4179  4.443    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.04e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 10.648 19.519 15.951 14.492 12.130 10.690
0.0152 0.01508 7.60206 0.1200000122 1.3193155527    0.120 -2.273  3.4269  4.450    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.17e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 10.453 18.952 15.497 14.045 11.784 10.438
0.0152 0.01508 7.60206 0.1400000006 1.4384527206    0.140 -2.167  3.4390  4.459    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.36e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 10.189 18.181 14.873 13.445 11.322 10.096
0.0152 0.01508 7.60206 0.1599999964 1.5372931957    0.160 -2.079  3.4489  4.468    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.55e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.966 17.574 14.373 12.963 10.952 9.815
0.0152 0.01508 7.60206 0.2175460905 1.7502229214    0.218 -1.877  3.4705  4.487    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.07e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.463 16.331 13.314 11.917 10.172 9.206
0.0152 0.01508 7.60206 0.2457301319 1.8293658495    0.246 -1.798  3.4786  4.493    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.31e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.266 15.888 12.925 11.534 9.885 8.975
0.0152 0.01508 7.60206 0.2696372569 1.8877695799    0.270 -1.740  3.4846  4.499    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -2.5e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.119 15.572 12.640 11.244 9.674 8.807
