# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  umag    gmag    rmag    imag    zmag
0.0152 0.01508 8.07918 0.0900000036 1.0816895962    0.090 -2.814  3.3996  4.757    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.72e-16      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 11.806 21.272 17.301 15.746 13.321 11.847
0.0152 0.01508 8.07918 0.0912886858 1.0939209461    0.091 -2.804  3.4011  4.759    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.76e-16      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 11.780 21.248 17.276 15.720 13.295 11.821
0.0152 0.01508 8.07918 0.0990068167 1.1627560854    0.099 -2.740  3.4104  4.768    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.04e-16      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 11.621 21.103 17.120 15.561 13.136 11.661
0.0152 0.01508 8.07918 0.1000000015 1.1711064577    0.100 -2.732  3.4116  4.768    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.08e-16      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 11.600 21.084 17.100 15.540 13.115 11.640
0.0152 0.01508 8.07918 0.1089830399 1.2420442104    0.109 -2.667  3.4203  4.776    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.39e-16      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 11.438 20.783 16.844 15.288 12.899 11.458
0.0152 0.01508 8.07918 0.1197095215 1.3173980713    0.120 -2.594  3.4308  4.785    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.79e-16      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 11.255 20.050 16.300 14.765 12.516 11.200
0.0152 0.01508 8.07918 0.1200000122 1.3193155527    0.120 -2.592  3.4311  4.785    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -3.8e-16      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 11.250 20.032 16.286 14.753 12.506 11.193
0.0152 0.01508 8.07918 0.1365204602 1.4193757772    0.136 -2.501  3.4418  4.793    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.36e-16      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 11.023 19.334 15.738 14.236 12.111 10.900
0.0152 0.01508 8.07918 0.1400000006 1.4384527206    0.140 -2.483  3.4440  4.795    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.47e-16      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 10.978 19.198 15.630 14.133 12.034 10.843
0.0152 0.01508 8.07918 0.1451798230 1.4657381773    0.145 -2.458  3.4470  4.798    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.64e-16      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 10.916 19.008 15.480 13.990 11.926 10.763
0.0152 0.01508 8.07918 0.1599999964 1.5372931957    0.160 -2.389  3.4551  4.804    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.15e-16      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 10.743 18.499 15.074 13.593 11.636 10.546
