#NUMBER OF AGES= 1 MAGS= 5
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2640 1.2548E-02 1.2548E-02  -0.11   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)
#----------------------------------------------------       
#AGE= 5.000 EEPS=271
#EEP   M/Mo    LogTeff  LogG   LogL/Lo sdss_u  sdss_g  sdss_r  sdss_i  sdss_z
  69  0.946497  3.7634  4.4634 -0.0427  6.6014  5.2053  4.7320  4.6237  4.6127
  70  0.951785  3.7649  4.4570 -0.0280  6.5440  5.1626  4.6954  4.5892  4.5799
  71  0.957041  3.7663  4.4504 -0.0134  6.4877  5.1203  4.6590  4.5549  4.5474
  72  0.962265  3.7676  4.4440  0.0010  6.4324  5.0785  4.6231  4.5211  4.5150
  73  0.967424  3.7690  4.4374  0.0153  6.3785  5.0374  4.5877  4.4876  4.4831
  74  0.972513  3.7703  4.4309  0.0292  6.3260  4.9971  4.5529  4.4548  4.4517
  75  0.977495  3.7715  4.4244  0.0430  6.2750  4.9576  4.5187  4.4225  4.4209
  76  0.982340  3.7728  4.4180  0.0564  6.2260  4.9193  4.4854  4.3910  4.3908
  77  0.986972  3.7739  4.4117  0.0694  6.1793  4.8823  4.4532  4.3606  4.3617
  78  0.991309  3.7751  4.4056  0.0817  6.1359  4.8476  4.4228  4.3317  4.3341
  79  0.995142  3.7760  4.4000  0.0928  6.0973  4.8162  4.3953  4.3057  4.3092
  80  0.996186  3.7765  4.3980  0.0972  6.0838  4.8044  4.3850  4.2960  4.2999
  81  0.996148  3.7769  4.3977  0.0995  6.0757  4.7979  4.3799  4.2915  4.2959
  82  0.998651  3.7776  4.3939  0.1075  6.0474  4.7751  4.3601  4.2729  4.2781
  83  1.001524  3.7785  4.3897  0.1163  6.0167  4.7502  4.3385  4.2525  4.2586
  84  1.004645  3.7793  4.3852  0.1254  5.9850  4.7245  4.3161  4.2312  4.2382
  85  1.007717  3.7800  4.3806  0.1344  5.9535  4.6989  4.2936  4.2101  4.2179
  86  1.010701  3.7809  4.3762  0.1433  5.9227  4.6738  4.2718  4.1894  4.1982
  87  1.013447  3.7816  4.3720  0.1517  5.8935  4.6500  4.2510  4.1698  4.1795
  88  1.015779  3.7823  4.3683  0.1593  5.8667  4.6283  4.2322  4.1520  4.1625
  89  1.017597  3.7830  4.3654  0.1660  5.8427  4.6092  4.2159  4.1368  4.1481
  90  1.017879  3.7838  4.3647  0.1697  5.8252  4.5970  4.2065  4.1285  4.1407
  91  1.017720  3.7845  4.3650  0.1727  5.8088  4.5865  4.1991  4.1223  4.1354
  92  1.018763  3.7853  4.3633  0.1780  5.7879  4.5707  4.1863  4.1107  4.1246
  93  1.020586  3.7860  4.3603  0.1845  5.7641  4.5519  4.1703  4.0956  4.1103
  94  1.022652  3.7866  4.3570  0.1913  5.7395  4.5321  4.1534  4.0797  4.0951
  95  1.024826  3.7872  4.3534  0.1984  5.7149  4.5122  4.1360  4.0634  4.0795
  96  1.027023  3.7878  4.3499  0.2053  5.6907  4.4924  4.1189  4.0472  4.0641
  97  1.029206  3.7884  4.3464  0.2120  5.6666  4.4729  4.1021  4.0313  4.0489
  98  1.031335  3.7890  4.3429  0.2188  5.6428  4.4538  4.0859  4.0160  4.0341
  99  1.033412  3.7895  4.3396  0.2252  5.6195  4.4352  4.0701  4.0011  4.0200
 100  1.035478  3.7901  4.3364  0.2315  5.5969  4.4171  4.0547  3.9866  4.0061
 101  1.037589  3.7906  4.3330  0.2377  5.5750  4.3995  4.0396  3.9722  3.9924
 102  1.039787  3.7911  4.3295  0.2439  5.5534  4.3817  4.0243  3.9577  3.9783
 103  1.042112  3.7914  4.3257  0.2503  5.5322  4.3640  4.0087  3.9428  3.9639
 104  1.044554  3.7918  4.3216  0.2568  5.5110  4.3460  3.9928  3.9274  3.9490
 105  1.047015  3.7921  4.3175  0.2634  5.4901  4.3281  3.9768  3.9119  3.9339
 106  1.049414  3.7924  4.3133  0.2698  5.4697  4.3106  3.9612  3.8969  3.9192
 107  1.051706  3.7927  4.3093  0.2761  5.4496  4.2935  3.9462  3.8823  3.9050
 108  1.053891  3.7930  4.3054  0.2821  5.4301  4.2768  3.9315  3.8681  3.8912
 109  1.055974  3.7933  4.3015  0.2879  5.4114  4.2607  3.9172  3.8543  3.8777
 110  1.057948  3.7936  4.2977  0.2937  5.3931  4.2450  3.9034  3.8408  3.8645
 111  1.059838  3.7939  4.2940  0.2993  5.3752  4.2297  3.8898  3.8277  3.8517
 112  1.061668  3.7942  4.2902  0.3049  5.3574  4.2146  3.8762  3.8147  3.8390
 113  1.063467  3.7945  4.2865  0.3104  5.3398  4.1995  3.8629  3.8016  3.8263
 114  1.065252  3.7948  4.2827  0.3160  5.3226  4.1844  3.8494  3.7885  3.8135
 115  1.067041  3.7949  4.2787  0.3215  5.3059  4.1696  3.8360  3.7754  3.8005
 116  1.068860  3.7951  4.2746  0.3272  5.2891  4.1546  3.8223  3.7620  3.7873
 117  1.070736  3.7953  4.2703  0.3329  5.2727  4.1396  3.8084  3.7484  3.7739
 118  1.072707  3.7955  4.2659  0.3387  5.2559  4.1243  3.7941  3.7344  3.7600
 119  1.074809  3.7956  4.2613  0.3447  5.2389  4.1087  3.7796  3.7200  3.7458
 120  1.077078  3.7958  4.2567  0.3509  5.2214  4.0924  3.7644  3.7051  3.7310
 121  1.079548  3.7960  4.2518  0.3575  5.2031  4.0755  3.7486  3.6894  3.7156
 122  1.082251  3.7961  4.2466  0.3644  5.1837  4.0575  3.7319  3.6728  3.6992
