# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  umag    gmag    rmag    imag    zmag
0.0152 0.01508 7.90309 0.0900000036 1.0816895962    0.090 -2.685  3.4027  4.640    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.19e-16      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 11.482 20.750 16.923 15.407 12.996 11.528
0.0152 0.01508 7.90309 0.0973095521 1.1482309103    0.097 -2.626  3.4103  4.646    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.59e-16      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 11.336 20.614 16.780 15.262 12.850 11.381
0.0152 0.01508 7.90309 0.1000000015 1.1711064577    0.100 -2.605  3.4132  4.648    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.74e-16      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 11.283 20.564 16.728 15.209 12.797 11.328
0.0152 0.01508 7.90309 0.1060260162 1.2195588350    0.106 -2.564  3.4184  4.653    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.03e-16      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 11.180 20.380 16.568 15.050 12.661 11.213
0.0152 0.01508 7.90309 0.1174772382 1.3024580479    0.117 -2.488  3.4283  4.661    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.64e-16      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 10.990 19.732 16.071 14.567 12.297 10.957
0.0152 0.01508 7.90309 0.1200000122 1.3193155527    0.120 -2.472  3.4305  4.663    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.78e-16      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 10.949 19.585 15.959 14.459 12.217 10.902
0.0152 0.01508 7.90309 0.1284043491 1.3723115921    0.128 -2.426  3.4358  4.668    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.16e-16      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 10.836 19.246 15.689 14.202 12.020 10.756
0.0152 0.01508 7.90309 0.1400000006 1.4384527206    0.140 -2.367  3.4426  4.673    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.74e-16      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 10.687 18.810 15.341 13.870 11.765 10.565
0.0152 0.01508 7.90309 0.1599653810 1.5371361971    0.160 -2.276  3.4531  4.682    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.69e-16      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 10.459 18.158 14.814 13.359 11.383 10.277
0.0152 0.01508 7.90309 0.1599999964 1.5372931957    0.160 -2.275  3.4531  4.682    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.69e-16      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 10.459 18.157 14.813 13.358 11.383 10.277
