# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  umag    gmag    rmag    imag    zmag
0.0152 0.01508 7.77815 0.0900000036 1.0816895962    0.090 -2.595  3.4038  4.554    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.69e-16      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 11.258 20.382 16.660 15.173 12.772 11.307
0.0152 0.01508 7.77815 0.0966756791 1.1427215338    0.097 -2.544  3.4101  4.559    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.15e-16      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 11.129 20.262 16.534 15.045 12.644 11.178
0.0152 0.01508 7.77815 0.1000000015 1.1711064577    0.100 -2.520  3.4134  4.563    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.37e-16      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 11.069 20.208 16.475 14.985 12.583 11.118
0.0152 0.01508 7.77815 0.1143343747 1.2807866335    0.114 -2.424  3.4248  4.571    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.35e-16      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 10.829 19.611 15.991 14.509 12.203 10.825
0.0152 0.01508 7.77815 0.1200000122 1.3193155527    0.120 -2.389  3.4294  4.575    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.74e-16      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 10.741 19.303 15.753 14.276 12.029 10.705
0.0152 0.01508 7.77815 0.1241602004 1.3461318016    0.124 -2.366  3.4321  4.578    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1    -8e-16      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 10.684 19.129 15.615 14.143 11.927 10.630
0.0152 0.01508 7.77815 0.1400000006 1.4384527206    0.140 -2.283  3.4415  4.585    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.04e-16      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 10.477 18.530 15.133 13.683 11.573 10.365
0.0152 0.01508 7.77815 0.1557109207 1.5174995661    0.156 -2.212  3.4496  4.593    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1    -1e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 10.300 18.031 14.727 13.291 11.276 10.141
0.0152 0.01508 7.77815 0.1599999964 1.5372931957    0.160 -2.194  3.4516  4.594    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.03e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 10.254 17.906 14.623 13.189 11.200 10.083
0.0152 0.01508 7.77815 0.2000000030 1.6938791275    0.200 -2.044  3.4680  4.607    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.28e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.879 16.944 13.818 12.394 10.613 9.628
